"","V1"
"2879",-0.004195664
"2880",0.007350409
"2881",-0.01407848
"2882",0.0006685329
"2883",0.01253291
"2884",-0.01758557
"2885",0.001752798
"2886",0.00304039
"2887",0.005380689
"2888",0.01333418
"2889",-0.00648946
"2890",-0.002831993
"2891",-0.01179508
"2892",0.009142537
"2893",0.01286129
"2894",0.008248633
"2895",0.01006837
"2896",0.01430687
"2897",-0.001337072
"2898",0.001001058
"2899",0.01039958
"2900",-0.006985458
"2901",-0.01825617
"2902",-0.004443369
"2903",0.003101027
"2904",-0.006738783
"2905",0.005539056
"2906",-0.008163118
"2907",0.01617715
"2908",-0.0006710579
"2909",0.01345526
"2910",0.0009074397
"2911",-0.005658995
"2912",-0.004113421
"2913",-0.02051772
"2914",-0.003239207
"2915",-0.006471428
"2916",-0.004140861
"2917",-0.02588891
"2918",0.005003146
"2919",-0.04900166
"2920",-0.0005750827
"2921",-0.06895837
"2922",0.04631744
"2923",-0.0451568
"2924",0.04525059
"2925",0.005247875
"2926",0.02155073
"2927",-0.009786275
"2928",0.0009469382
"2929",-0.0456186
"2930",-0.01512276
"2931",0.0002580079
"2932",0.03371025
"2933",0.01303465
"2934",-0.01568793
"2935",0.01500842
"2936",0.0278875
"2937",0.002344275
"2938",0.004909909
"2939",-0.01194246
"2940",-0.02560702
"2941",-0.007464077
"2942",0.02824383
"2943",-0.01066889
"2944",-0.02706856
"2945",0.006941569
"2946",0.009078726
"2947",0.01338976
"2948",0.01704105
"2949",0.005690476
"2950",-0.009850949
"2951",-0.001662386
"2952",-0.029831
"2953",-0.03240246
"2954",0.006063589
"2955",0.02306802
"2956",0.01063167
"2957",-0.0209082
"2958",0.008081486
"2959",-0.02529127
"2960",-0.0288636
"2961",0.02223931
"2962",0.01770792
"2963",0.01813817
"2964",-0.008196811
"2965",0.03355564
"2966",0.0005438553
"2967",0.009747047
"2968",-0.002978103
"2969",0.01723095
"2970",-0.01955994
"2971",0.02021305
"2972",-0.01272982
"2973",0.00454384
"2974",0.01863407
"2975",0.01279081
"2976",-0.02024835
"2977",0.01048143
"2978",0.03371659
"2979",0.0003891535
"2980",-0.02504862
"2981",-0.02834006
"2982",0.01597636
"2983",0.01860761
"2984",-0.00629982
"2985",0.006276008
"2986",0.01166731
"2987",-0.03738535
"2988",0.008587201
"2989",0.01929322
"2990",-0.009596037
"2991",0.004805599
"2992",-0.0167558
"2993",-0.01694267
"2994",-0.0003947569
"2995",-0.01882457
"2996",-0.004149439
"2997",-0.02234297
"2998",-0.002689119
"2999",0.02882108
"3000",0.002211206
"3001",0.04240344
"3002",-0.00191047
"3003",-0.0002410156
"3004",0.01023446
"3005",0.001105138
"3006",0.002016321
"3007",-0.0213685
"3008",0.01674241
"3009",-0.01502639
"3010",-0.008723954
"3011",-0.01141325
"3012",0.003237853
"3013",0.003210989
"3014",-0.0118022
"3015",0.0293893
"3016",0.001947608
"3017",0.008231577
"3018",0.008994481
"3019",7.910509e-05
"3020",-0.01255651
"3021",0.01065017
"3022",-0.004300571
"3023",0.01535548
"3024",0.0001879062
"3025",0.002939393
"3026",-0.002540185
"3027",0.002259044
"3028",0.008846524
"3029",0.000309549
"3030",0.002333883
"3031",-0.004960204
"3032",0.003546658
"3033",0.01104669
"3034",0.004926502
"3035",0.0006692359
"3036",0.0004712318
"3037",-0.001026344
"3038",0.008641695
"3039",-0.005770508
"3040",-0.001594148
"3041",-0.002525309
"3042",-0.0004570514
"3043",0.008860238
"3044",0.001094548
"3045",0.01449973
"3046",-0.0004239637
"3047",0.002021338
"3048",0.002157881
"3049",0.001473025
"3050",-0.006910122
"3051",0.006777023
"3052",-0.0009399654
"3053",-0.005397748
"3054",0.01096537
"3055",0.002346176
"3056",0.0007196641
"3057",-0.003345698
"3058",0.004262903
"3059",0.001670841
"3060",0.001353643
"3061",0.003350714
"3062",-0.004748243
"3063",0.006139156
"3064",-0.003251035
"3065",-0.003877201
"3066",-0.01548951
"3067",0.006876922
"3068",0.009770049
"3069",0.003624673
"3070",0.000160448
"3071",0.01796913
"3072",-0.001196978
"3073",0.005949466
"3074",0.001118772
"3075",0.003965971
"3076",-0.003005028
"3077",-0.00187295
"3078",-0.007232635
"3079",0.003104036
"3080",0.0137903
"3081",-0.00282075
"3082",-0.004953759
"3083",-0.001609224
"3084",0.003691614
"3085",0.007476626
"3086",-0.003996612
"3087",-0.01025493
"3088",-0.0006292402
"3089",-0.01142344
"3090",-0.01722903
